Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,exact_matches,f1_score,train_loss,Mode
2022-08-04 13:44:01,13.8min,7f59edbc37e94903b06a7563d534038d,,LOCAL,trainer_qa.py,mb21687,FINISHED,35.48966598510742,53.66748809814453,,testing
2022-08-04 13:20:45,12.3s,4295ad22d15647b49868f2cb1c01bcb4,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-08-04 12:46:48,9.7min,c0a42a2ed971491d8828232a5eeb21a0,,LOCAL,trainer_qa.py,es.py,FINISHED,57.120452880859375,75.00089263916016,,testing
2022-08-04 12:36:12,9.8min,1781c76915ae484cb3e32ee34f764d6c,,LOCAL,trainer_qa.py,es.py,FAILED,,,,
2022-07-28 14:22:12,10.9h,0f8323b94abf49d98c2af77c9eaa91d7,,LOCAL,trainer_qa.py,es.py,FINISHED,57.120452880859375,75.00089263916016,0.002232889411970973,testing
2022-07-28 13:59:05,,576d3e3a0ede4da7aa8a8874138842b7,,LOCAL,trainer_qa.py,mb21687,RUNNING,,,,training
2022-07-28 13:54:46,7.7s,39144efdc177499f8b4f01928414e03f,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-28 13:54:02,6.7s,75d477b1997943ceaa902b82af957cd2,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-28 13:52:57,15.5s,422e3385085d435da95f85c23e4ac40b,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-28 13:00:43,11.9min,984a0431c5254d96a66b95314c3cb459,,LOCAL,trainer_qa.py,mb21687,FINISHED,,,,
2022-07-28 12:59:52,25.7s,8b3b12e1db4041dcb95ba6883f5ecfed,,LOCAL,trainer_qa.py,mb21687,FINISHED,,,,training
2022-07-27 15:03:22,7.8h,2323e0c341ba4053a0da561481d72fde,,LOCAL,trainer_qa.py,mb21687,FINISHED,52.854454040527344,70.7522201538086,0.11582013219594955,testing
2022-07-27 15:02:54,7.7s,494f597085d1461b98b2edd28629fe39,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-27 15:00:59,5.3s,18a792a885964bc2b22e95b1441a2276,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:59:21,7.8s,e5c421b6d51b4a1e98ee23925573870a,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-27 14:58:35,8.4s,cb53acf731444b9482e5db4828fc3966,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-27 14:56:42,8.3s,3731c35877844c9d8a3a2d756a568105,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-27 14:54:59,5.1s,c38d91df817c41869db539fec7bfddca,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:54:13,7.4s,aa21b6913767424e9b96b857616e390a,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-27 14:48:25,7.3s,8c775416a63e43ae850ddde0706a8e53,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,training
2022-07-27 14:46:42,1.9s,23b78e03bc904df7a9e2f8c3fea6c28e,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:45:58,1.9s,8f791b6675c048adba77c03c36e8b6da,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:44:56,1.9s,c515756dfe4d442f9bbf8bb629ef2c91,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:40:15,1.9s,9ab86eb4f57f43d9a256ffd7dead9d35,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:33:03,1.9s,804bc58e2c274dbdb02f8a229bf0b5fd,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:31:35,1.9s,1c6ef49c07ce49ba9e36fb3d56cc180b,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
2022-07-27 14:30:28,1.9s,9cb775db8c464f52b0e6d75c285c8a79,,LOCAL,trainer_qa.py,mb21687,FAILED,,,,
